iteration,a,b,loss
0,4.3,-1.7,0.16321663316114735
1,4.352447078885209,-1.6475529184892186,0.16146169941240204
2,4.404772960198491,-1.5951146744153648,0.1597284858626285
3,4.456894460187424,-1.5426926614004988,0.1580178607436455
4,4.508727525133046,-1.4902952102138785,0.15633060322216633
5,4.560187942209634,-1.4379314245051733,0.15466729247899452
6,4.611194583539071,-1.3856110054880002,0.1530286025453809
7,4.661663914120991,-1.3333441046944472,0.15141507600920642
8,4.711514346384303,-1.2811411681999758,0.1498271374728488
9,4.760666512827165,-1.2290127900030825,0.1482651243671422
10,4.809043512452817,-1.176969578962808,0.1467292902779969
11,4.856571089480969,-1.1250220392920705,0.14521980827348238
12,4.903177730534397,-1.073180464347997,0.14373667749192837
13,4.948801329111254,-1.021454848910444,0.14227991497943707
14,4.993374061082522,-0.9698548176143411,0.14084958743010859
15,5.0,-0.9183895457182246,0.13954744608000885
16,5.0,-0.8670358450951487,0.13827108949370567
17,5.0,-0.8157733445419112,0.13700105423462983
18,5.0,-0.7645896731641879,0.13573763924728366
19,5.0,-0.713478587443075,0.13448127691874248
20,5.0,-0.6624385285735379,0.13323249395490627
21,5.0,-0.6114714977834803,0.13199188044549623
22,5.0,-0.5605821722171862,0.1307600654768353
23,5.0,-0.5097772070839519,0.12953769813217694
24,5.0,-0.45906468513975696,0.12832543297314528
25,5.0,-0.40845368462727627,0.1271239192023002
26,5.0,-0.3579539431754875,0.12593379273714597
27,5.0,-0.3075755990768236,0.12475567044237691
28,5.0,-0.25732899381642793,0.12359014581654625
29,5.0,-0.2072245215419162,0.12243778553578313
30,5.0,-0.1572725129366615,0.12129912641934008
31,5.0,-0.10748314303857993,0.12017467257622162
32,5.0,-0.0578663549977033,0.11906489268263648
33,5.0,-0.008431794419688492,0.11797021748957433
34,5.0,0.0408112485191146,0.1168910377423182
35,5.0,0.08985388992327961,0.1158277027012435
36,5.0,0.1386876953817953,0.11478051939732839
37,5.0,0.18730471437419888,0.1137497526625754
38,5.0,0.235697504921984,0.11273562587710906
39,4.999407718859278,0.2838591482014801,0.1117379483642704
