iteration,a,b,loss
0,3.981733454730024,-1.348959159391854,0.15505238486634215
1,3.786945025430568,-0.457422210838655,0.12978063052410574
2,3.7234934234107637,-0.39331761209656946,0.1280788017790855
3,4.333805706296144,-0.04998236291469438,0.11896977878519807
4,4.454953779470966,0.36364636904879094,0.10969706081333902
5,4.454953779470966,0.36364636904879094,0.10969706081333902
6,4.454953779470966,0.36364636904879094,0.10969706081333902
7,3.694563985556267,0.3445179343613761,0.10966340879855543
8,4.481881207086227,1.0302162476577668,0.09702929876328022
9,4.897983131658587,1.8787126496851,0.08581847770546616
10,4.897983131658587,1.8787126496851,0.08581847770546616
11,3.278258017993068,1.9763201625855453,0.08218480331688897
12,3.9761894836975484,2.0317963625932656,0.08198311907213185
13,4.042894772902391,2.542578558988054,0.07680550764733209
14,3.865428492333005,2.6813133765532515,0.07512795993801896
15,3.84988494592814,3.6405818991423846,0.06895599628004492
16,3.6951897540914143,3.6204588462524416,0.06833485747980278
17,3.5346498066178103,3.563271394859765,0.06786604820701303
18,3.092981804206987,4.00843297650828,0.06379069847301065
19,2.2294789642560753,3.7099324743118895,0.05961493998916727
20,1.9089043203514398,4.0166417624848405,0.05362679449295633
21,1.9089043203514398,4.0166417624848405,0.05362679449295633
22,1.221336652349505,4.32491695017463,0.039928262395269504
23,0.8890119806234343,4.038454667007551,0.03503435423969246
24,0.8622626384355156,4.575149010159745,0.03059091215349315
25,0.8622626384355156,4.575149010159745,0.03059091215349315
26,0.1537549546316892,4.3322769716591125,0.008393304771580071
27,0.34263787085952807,4.412445342558352,0.007829093335630779
28,0.34263787085952807,4.412445342558352,0.007829093335630779
29,0.34263787085952807,4.412445342558352,0.007829093335630779
30,0.2056542777734622,4.378027699468313,0.0046277133328413485
31,0.22192636976223928,4.397286298818113,0.004369661725447989
32,0.22192636976223928,4.397286298818113,0.004369661725447989
33,0.21924868694707692,4.419995089357148,0.004342853322014464
34,0.2200355067041029,4.412393352489643,0.004336918352560835
35,0.2200355067041029,4.412393352489643,0.004336918352560835
36,0.2200355067041029,4.412393352489643,0.004336918352560835
37,0.22167837351245678,4.414033245454256,0.00433461124092798
38,0.22167837351245678,4.414033245454256,0.00433461124092798
39,0.22167837351245678,4.414033245454256,0.00433461124092798
40,0.22240781797474143,4.414926743176106,0.004334558606681365
41,0.22208309667709641,4.413948590753955,0.004334485486044216
42,0.22208309667709641,4.413948590753955,0.004334485486044216
43,0.22208309667709641,4.413948590753955,0.004334485486044216
44,0.22229930063942,4.413978083321523,0.004334472631580664
45,0.22232497874157378,4.414086510081263,0.0043344713970079685
46,0.2222616006438571,4.414040393226955,0.004334470274115496
47,0.2222616006438571,4.414040393226955,0.004334470274115496
48,0.2222616006438571,4.414040393226955,0.004334470274115496
49,0.2222486861232968,4.414055131450642,0.004334470072189071
50,0.22225846555585824,4.414053788721607,0.004334470037644247
51,0.22225846555585824,4.414053788721607,0.004334470037644247
52,0.22225372904717672,4.41405489193783,0.0043344700370353964
53,0.22225345923569395,4.414055120775002,0.004334470034985245
54,0.2222582045744089,4.41405484209532,0.004334470021348162
55,0.2222582045744089,4.41405484209532,0.004334470021348162
56,0.2222582045744089,4.41405484209532,0.004334470021348162
57,0.2222582045744089,4.41405484209532,0.004334470021348162
58,0.2222582045744089,4.41405484209532,0.004334470021348162
59,0.2222582045744089,4.41405484209532,0.004334470021348162
60,0.2222582045744089,4.41405484209532,0.004334470021348162
61,0.2222582045744089,4.41405484209532,0.004334470021348162
62,0.2222582045744089,4.41405484209532,0.004334470021348162
63,0.2222582045744089,4.41405484209532,0.004334470021348162
64,0.2222582045744089,4.41405484209532,0.004334470021348162
65,0.2222582045744089,4.41405484209532,0.004334470021348162
66,0.2222582045744089,4.41405484209532,0.004334470021348162
67,0.2222582045744089,4.41405484209532,0.004334470021348162
68,0.2222582045744089,4.41405484209532,0.004334470021348162
69,0.2222582045744089,4.41405484209532,0.004334470021348162
70,0.2222582045744089,4.41405484209532,0.004334470021348162
71,0.2222582045744089,4.41405484209532,0.004334470021348162
72,0.2222581859189727,4.414091058278636,0.0043344696136538245
73,0.2222581859189727,4.414091058278636,0.0043344696136538245
74,0.2222581859189727,4.414091058278636,0.0043344696136538245
75,0.2222581859189727,4.414091058278636,0.0043344696136538245
76,0.2222581859189727,4.414091058278636,0.0043344696136538245
77,0.2222581859189727,4.414091058278636,0.0043344696136538245
78,0.2222581859189727,4.414091058278636,0.0043344696136538245
79,0.2222581859189727,4.414091058278636,0.0043344696136538245
80,0.2222581859189727,4.414091058278636,0.0043344696136538245
